distance,combination,initial_solution_method,parent_selection_method,population_count,n_iterations,probability_of_mutation,crossing_method,probability_of_winning_tournament,tournament_size
80.0,"[1, 0, 2, 3]",closest_neighbour,sorted_fitness,20,10,0.05,OX,None,None
80.0,"[0, 1, 3, 2]",closest_neighbour,sorted_fitness,20,10,0.05,PMX,None,None
80.0,"[0, 1, 3, 2]",closest_neighbour,sorted_fitness,20,10,0.05,CX,None,None
80.0,"[0, 1, 3, 2]",closest_neighbour,sorted_fitness,20,10,0.1,OX,None,None
80.0,"[1, 0, 2, 3]",closest_neighbour,sorted_fitness,20,10,0.1,PMX,None,None
80.0,"[1, 0, 2, 3]",closest_neighbour,sorted_fitness,20,10,0.1,CX,None,None
80.0,"[0, 1, 3, 2]",closest_neighbour,sorted_fitness,20,10,0.3,OX,None,None
80.0,"[0, 1, 3, 2]",closest_neighbour,sorted_fitness,20,10,0.3,PMX,None,None
80.0,"[1, 0, 2, 3]",closest_neighbour,sorted_fitness,20,10,0.3,CX,None,None
80.0,"[0, 1, 3, 2]",closest_neighbour,sorted_fitness,20,10,0.5,OX,None,None
80.0,"[0, 1, 3, 2]",closest_neighbour,sorted_fitness,20,10,0.5,PMX,None,None
80.0,"[2, 0, 1, 3]",closest_neighbour,sorted_fitness,20,10,0.5,CX,None,None
80.0,"[1, 0, 2, 3]",closest_neighbour,sorted_fitness,20,20,0.05,OX,None,None
80.0,"[3, 1, 0, 2]",closest_neighbour,sorted_fitness,20,20,0.05,PMX,None,None
80.0,"[0, 1, 3, 2]",closest_neighbour,sorted_fitness,20,20,0.05,CX,None,None
80.0,"[2, 0, 1, 3]",closest_neighbour,sorted_fitness,20,20,0.1,OX,None,None
80.0,"[0, 1, 3, 2]",closest_neighbour,sorted_fitness,20,20,0.1,PMX,None,None
80.0,"[2, 0, 1, 3]",closest_neighbour,sorted_fitness,20,20,0.1,CX,None,None
80.0,"[0, 1, 3, 2]",closest_neighbour,sorted_fitness,20,20,0.3,OX,None,None
80.0,"[3, 1, 0, 2]",closest_neighbour,sorted_fitness,20,20,0.3,PMX,None,None
80.0,"[0, 1, 3, 2]",closest_neighbour,sorted_fitness,20,20,0.3,CX,None,None
80.0,"[1, 0, 2, 3]",closest_neighbour,sorted_fitness,20,20,0.5,OX,None,None
80.0,"[2, 0, 1, 3]",closest_neighbour,sorted_fitness,20,20,0.5,PMX,None,None
80.0,"[2, 0, 1, 3]",closest_neighbour,sorted_fitness,20,20,0.5,CX,None,None
80.0,"[2, 0, 1, 3]",closest_neighbour,sorted_fitness,30,10,0.05,OX,None,None
80.0,"[0, 1, 3, 2]",closest_neighbour,sorted_fitness,30,10,0.05,PMX,None,None
80.0,"[2, 0, 1, 3]",closest_neighbour,sorted_fitness,30,10,0.05,CX,None,None
80.0,"[3, 1, 0, 2]",closest_neighbour,sorted_fitness,30,10,0.1,OX,None,None
80.0,"[1, 0, 2, 3]",closest_neighbour,sorted_fitness,30,10,0.1,PMX,None,None
80.0,"[0, 1, 3, 2]",closest_neighbour,sorted_fitness,30,10,0.1,CX,None,None
80.0,"[0, 1, 3, 2]",closest_neighbour,sorted_fitness,30,10,0.3,OX,None,None
80.0,"[1, 0, 2, 3]",closest_neighbour,sorted_fitness,30,10,0.3,PMX,None,None
80.0,"[2, 0, 1, 3]",closest_neighbour,sorted_fitness,30,10,0.3,CX,None,None
80.0,"[2, 0, 1, 3]",closest_neighbour,sorted_fitness,30,10,0.5,OX,None,None
80.0,"[2, 0, 1, 3]",closest_neighbour,sorted_fitness,30,10,0.5,PMX,None,None
80.0,"[0, 1, 3, 2]",closest_neighbour,sorted_fitness,30,10,0.5,CX,None,None
80.0,"[2, 0, 1, 3]",closest_neighbour,sorted_fitness,30,20,0.05,OX,None,None
80.0,"[0, 1, 3, 2]",closest_neighbour,sorted_fitness,30,20,0.05,PMX,None,None
80.0,"[0, 1, 3, 2]",closest_neighbour,sorted_fitness,30,20,0.05,CX,None,None
80.0,"[0, 1, 3, 2]",closest_neighbour,sorted_fitness,30,20,0.1,OX,None,None
80.0,"[2, 0, 1, 3]",closest_neighbour,sorted_fitness,30,20,0.1,PMX,None,None
80.0,"[0, 1, 3, 2]",closest_neighbour,sorted_fitness,30,20,0.1,CX,None,None
80.0,"[3, 2, 0, 1]",closest_neighbour,sorted_fitness,30,20,0.3,OX,None,None
80.0,"[1, 0, 2, 3]",closest_neighbour,sorted_fitness,30,20,0.3,PMX,None,None
80.0,"[1, 0, 2, 3]",closest_neighbour,sorted_fitness,30,20,0.3,CX,None,None
80.0,"[0, 1, 3, 2]",closest_neighbour,sorted_fitness,30,20,0.5,OX,None,None
80.0,"[1, 0, 2, 3]",closest_neighbour,sorted_fitness,30,20,0.5,PMX,None,None
80.0,"[2, 0, 1, 3]",closest_neighbour,sorted_fitness,30,20,0.5,CX,None,None
80.0,"[3, 1, 0, 2]",random,sorted_fitness,20,10,0.05,OX,None,None
80.0,"[0, 2, 3, 1]",random,sorted_fitness,20,10,0.05,PMX,None,None
80.0,"[1, 3, 2, 0]",random,sorted_fitness,20,10,0.05,CX,None,None
80.0,"[2, 3, 1, 0]",random,sorted_fitness,20,10,0.1,OX,None,None
80.0,"[1, 0, 2, 3]",random,sorted_fitness,20,10,0.1,PMX,None,None
80.0,"[2, 3, 1, 0]",random,sorted_fitness,20,10,0.1,CX,None,None
80.0,"[1, 0, 2, 3]",random,sorted_fitness,20,10,0.3,OX,None,None
80.0,"[1, 0, 2, 3]",random,sorted_fitness,20,10,0.3,PMX,None,None
80.0,"[0, 1, 3, 2]",random,sorted_fitness,20,10,0.3,CX,None,None
80.0,"[2, 0, 1, 3]",random,sorted_fitness,20,10,0.5,OX,None,None
80.0,"[2, 3, 1, 0]",random,sorted_fitness,20,10,0.5,PMX,None,None
80.0,"[2, 0, 1, 3]",random,sorted_fitness,20,10,0.5,CX,None,None
80.0,"[3, 1, 0, 2]",random,sorted_fitness,20,20,0.05,OX,None,None
80.0,"[3, 2, 0, 1]",random,sorted_fitness,20,20,0.05,PMX,None,None
80.0,"[1, 0, 2, 3]",random,sorted_fitness,20,20,0.05,CX,None,None
80.0,"[1, 3, 2, 0]",random,sorted_fitness,20,20,0.1,OX,None,None
80.0,"[1, 0, 2, 3]",random,sorted_fitness,20,20,0.1,PMX,None,None
80.0,"[2, 0, 1, 3]",random,sorted_fitness,20,20,0.1,CX,None,None
80.0,"[1, 0, 2, 3]",random,sorted_fitness,20,20,0.3,OX,None,None
80.0,"[1, 3, 2, 0]",random,sorted_fitness,20,20,0.3,PMX,None,None
80.0,"[0, 1, 3, 2]",random,sorted_fitness,20,20,0.3,CX,None,None
80.0,"[2, 0, 1, 3]",random,sorted_fitness,20,20,0.5,OX,None,None
80.0,"[3, 1, 0, 2]",random,sorted_fitness,20,20,0.5,PMX,None,None
80.0,"[1, 3, 2, 0]",random,sorted_fitness,20,20,0.5,CX,None,None
80.0,"[1, 3, 2, 0]",random,sorted_fitness,30,10,0.05,OX,None,None
80.0,"[2, 3, 1, 0]",random,sorted_fitness,30,10,0.05,PMX,None,None
80.0,"[2, 0, 1, 3]",random,sorted_fitness,30,10,0.05,CX,None,None
80.0,"[3, 1, 0, 2]",random,sorted_fitness,30,10,0.1,OX,None,None
80.0,"[1, 0, 2, 3]",random,sorted_fitness,30,10,0.1,PMX,None,None
80.0,"[2, 3, 1, 0]",random,sorted_fitness,30,10,0.1,CX,None,None
80.0,"[1, 0, 2, 3]",random,sorted_fitness,30,10,0.3,OX,None,None
80.0,"[0, 2, 3, 1]",random,sorted_fitness,30,10,0.3,PMX,None,None
80.0,"[3, 2, 0, 1]",random,sorted_fitness,30,10,0.3,CX,None,None
80.0,"[3, 1, 0, 2]",random,sorted_fitness,30,10,0.5,OX,None,None
80.0,"[2, 3, 1, 0]",random,sorted_fitness,30,10,0.5,PMX,None,None
80.0,"[1, 0, 2, 3]",random,sorted_fitness,30,10,0.5,CX,None,None
80.0,"[2, 0, 1, 3]",random,sorted_fitness,30,20,0.05,OX,None,None
80.0,"[2, 3, 1, 0]",random,sorted_fitness,30,20,0.05,PMX,None,None
80.0,"[3, 2, 0, 1]",random,sorted_fitness,30,20,0.05,CX,None,None
80.0,"[3, 1, 0, 2]",random,sorted_fitness,30,20,0.1,OX,None,None
80.0,"[0, 2, 3, 1]",random,sorted_fitness,30,20,0.1,PMX,None,None
80.0,"[3, 1, 0, 2]",random,sorted_fitness,30,20,0.1,CX,None,None
80.0,"[2, 3, 1, 0]",random,sorted_fitness,30,20,0.3,OX,None,None
80.0,"[1, 3, 2, 0]",random,sorted_fitness,30,20,0.3,PMX,None,None
80.0,"[0, 2, 3, 1]",random,sorted_fitness,30,20,0.3,CX,None,None
